Name,Address,Phone,Speciality,Price_rate,Website,Total_Reviews,Reviews
Ming of the Avenue,54 Avenue Road Crayford DA7 4EG,020 8304 7227,Chinese,no_pricerate,no_website,1 review,"MMMMMhhhhhhh Chinese (Cue Homer Simpson drool)  ||| I love my Chinese food and these guys quite simply do the best Chinese I think I've ever had. In a world with a million and one Chinese take away restaurants, finding one that actually makes their food taste nice is amazing.  ||| Their noodles are the thin firm kind, not the stodgy kind that looks more like spaghetti than noodle. Their duck in plum sauce is to die for (if you like Crispy Duck pancakes you'll love these) and their starters are amazing too.  ||| If a restaurants quality can be gauged on how busy they are, these guys are packed almost every day. If you want to go for a meal, yes they are a sit down restaurant first, takeaway second, you'd better book ahead. Weekends are exceptionally busy.  ||| The food is first rate and you also aren't going to have a heart attack wen the bill comes. Although they are slightly more expensive than a cheap takeaway place, we're only talking 50p to £1 a dish more. Well worth it in my mind. ||| Pop in and pick up a menu next time you're walking back from the station and give them a try."
Zingara,295 Broadway Bexleyheath DA6 8DG,020 8303 0219,Bars American (New),no_pricerate,zingara.co.uk,4 reviews,"I've been here both to eat and just to have a drink. Both times I was very happy with the service we received (the staff are very attentive) and the quality of the food / drinks. ||| The downside to this place without a doubt is the price... It's very expensive for everything from drinks to food, this isn't the sort of place you can come of a cheap night out. ||| An important note is that you are required to wear shoes if you come here in the evenings for the bar. ||| When I came the security presence was very high, there were three guys on a Thursday night which felt like overkill. ||| I must say that it's probably one of the better places to drink in Bexleyheath though! ||| A really lovely classy restaurant during the week , ask to be seated in the back in the room with the tree or with a view to the room with the tree; recommend the spinning and hazelnut pasta! ||| Last night after an amazing trip to the Greenwich Union (see my previous review) I met up with my best pal from my childhood to celebrate his birthday with a little bit of food and some drinks . ||| As we went on a Monday night it was absolutely dead inside there was just our table (around 10 people) and two members of staff, Although I had eaten earlier I was still hungry! When I arrived I went straight for the menu, which I have to compliment as it was very comprehensive with about 4 pages of cocktails and quite an extensive range of beers (quite hard to find decent beers in bexleyheath so points there for Zingara) so first off I ordered an Estrella and I asked for the bartender to come to the table as they offered their own type of ice tea but I hat wanted a stirred ordinary Long Island which he was more than happy to do and seemed to really want to engage in conversation about some drinks offering his recommendations ( I have to be honest a he seemed rather over-qualified to work there) I then went on to order an appetiser of fried calamari and a main of paella. I was just leaving my seat to go for a cigarette when the waitress came over to inform me that they were out of Estrella ... I wasn't to bothered I understood as it was a Monday so maybe they were hit hard over the weekend as Estrella probably is the most popular beer they have to offer so I asked for her to surprise me with any other ""decent"" beer they had.  ||| So I'm outside in their smoking area , unlike most bars of this style their smoking area is out front but it's not in a bad location and who doesn't love a little bit of people watching. The whole area is fitted with powerful electric heaters and in the middle of the wall connecting to the inside there is a fire covered by a glass screen which maintains heat brilliantly, although I was bemused by their use of half of a bathtub with a cushion fitted inside as a sort of sofa and a tombstone as a table but it was different, which is always good. ||| When returning from my smoke I was greeted by a 10/10 quality Long Island ice tea, a beer named ""modelo"" and a friendly bartender who seemed rather proud of his work. Shortly after sitting down a waitress brought over our appetisers. I was a little disappointed by my plate of around 5 fried calamari I've never seen a portion so small but I assumed the taste would make up for it... But it didn't. They tasted suspiciously of ""brakes"" or ""3663"" style food so I was very disappointed as far as starters were concerned. From this point I'm gonna jump straight ahead to the mains ... 8 dishes were brought out so myself and my friends sister were left without a plate in front of us which we questioned. The waitress came over to inform us that my friends sister's food was coming but what was much worse was that she had to admit to me that she forgot to even order my food and that if I still wanted the paella it would take 45 minutes so I settled for a Tennessee burger instead. The bartender brought over a small bowl of about 8 complimentary chips to make up for this mistake which to be honest really wasn't a make up gesture at all as most places wouldn't charge for the replacement meal or offer an entire complimentary round of drinks for the whole group but instead I was offered a tiny handful of chips. When the burger arrived it was very mediocre jut a standard wetherspoons style burger, there's not really much to say about the burger other than that as with most ""spoons"" style food it was pretty tasteless and dry.  ||| All in all the venue is brilliant and wonderfully decorated , but I have to be honest and recommend that they stick to being just a bar offering just a small snack menu or something containing just simple bar food such as olives etc. I would definitely go back but only for drinks and the scenery.  ||| Sorry there are no pics but to be honest it was very dark inside and my phone battery was low as I had been out for the entire day. ||| Thought we would pop in for a few cocktails over the bank holiday weekend. The bar staff were friendly and helpful the drinks were good and the music amazing. We had a great time and will defiantly be returning ;)"
KFC,1 Manor Road Erith DA8 2AB,no_phone,Takeaway & Fast Food Chicken Wings Chicken Shop,no_pricerate,kfc.co.uk,1 review,"So yeah - I like KFC (!) and I only really like it from here. This is a drive thru as well as walk in and order, and at certain times it can get very very busy. I normally drive thru because I pick it up on my way home, and there really isn't much of a wait time. And the food? Well, to me it tastes better then other KFCs! Its always hot and because so many people eat here it is always freshly cooked. Also the crumb on the zinger burger and hot wings tastes just like the KFC in Mauritius - which is a good thing!  ||| I have one suggestion though - I think that the chips should be covered because they sometimes get cold! Or maybe I need to drive home quicker!"
Prince Albert,2 Broadway Bexleyheath DA6 7LE,020 8303 6309,French,no_pricerate,princealbertbexleyheath.co.uk,2 reviews,"Ahh the old 'Pots and Pans' as we used to call it. The Prince Albert really is a good pub. Downstairs is a traditional boozer with a good mix of old regulars and people under the age of 50! ||| If you want a trendy bar don't go here. This is for those people who are over 18 and don't want to get smashed on alcopops and cider. They always seem to have friendly serving staff and a nice selection of beers. ||| It can get packed at weekends but usually there is room to stand or even find a seat. Good thumbs up. ||| Upstairs they have an upmarket restaurant. Although the decor is nice and menu is certainly upmarket, their prices aren't cheap. When we went, several years ago admittedly, a meal for four cost £150ish. Now you might expect to pay this in London, but not Bexleyheath. That may have changed now so please check it out, but it put us off going back again. ||| Soo Pub - Yeah. Restaurant - Meh! ||| The Prince Albert is one of Bexleyheath's better pubs. It is a proper pub with really friendly bar staff and decent regulars. Not once in my visits here have I felt unwelcome or like I have to watch my back which is remarkable considering Bexleyheath's reputation. The crowd is a mix of young and old and is a far cry from the lot that inhabit the bars in the more troublesome parts of the town.  ||| There are lots of random brass objects on the wall which gives the pub a sense of history and character. The pub is a bit small and can get a little cramped from time to time but if you ask someone to move over a little so you can reach the toilet they normally oblige without the attitude or dirty looks.  ||| The pub does do food upstairs in the restaurant area which can be a little pricey but looks good for something like a work function or party where people might not mind splashing out a little extra.  ||| Sadly parking can be a bit of a nuisance. You can park in the car park by the cinema which charges or you can park a few roads away around the corner from the old Woolwich/Barclays building which is a couple of minutes walk away."
Joe's Fish Bar,234 Bexley Road Erith DA8 3HB,01322 339286,Fish & Chips,£,no_website,1 review,"Joe's Fish Bar is a good place for quick and easy fish and chips. Upon my visit I found the service to be quick and polite and I found the meal to be of a generous size and very filling. I definitely got value for money. ||| Its location was ideal for me as I was with my brother who was ordering a pizza at Pizza Hut across the road. Not being a pizza fan I opted for a good old traditional chippy and popped over the road to get my meal. My meal was served up and I was back at Pizza Hut before my brother had his pizza ready. ||| Getting to Joe's isn't too much of a problem. The village is a little congested at times and parking wise, if you're quick you can park in the BP garage across the road. If you're not so then the car park in Mill Road has a back entrance which is just a few doors down from Joe's next to the Royal Oak."
Assos Restaurant,140 Crayford Road Dartford DA1 4ES,01322 558884,Greek Mediterranean Turkish,£££,assosrestaurant.com,1 review,"This is a fantastic restaurant offering mediterranean food. Had a three course meal which was served on time, the food was delicious, well cooked and served with a smile. The amount of food was just right, the atmosphere was pleasant and value for money. It has a very nice decor & romantic, would go again."
Hong Kong Palace,180 West Street London DA8 1AN,01322 445058,Takeaway & Fast Food Chinese,no_pricerate,no_website,1 review,"Even after moving away from Erith three years ago, when visiting friends I still insist that we get food from Hong Kong Palace as it's just so good! The portions are plentiful - my favourite is king prawn chop suey which has big, delicious prawns - and the service is usually pretty quick, especially if you go pick it up yourself instead of having it delivered. The barbecue ribs are some of the best I've tasted and are very meaty, although you need to make sure to wash your hands straight afterwards as otherwise you'll end up with orange fingers for a couple of days! This place is good value and a definite recommendation. Apparently they are suffering a bit in the recession, so if you're looking for a good Chinese take-away, definitely give this place a try and keep them in business!"
Riverside Fish & Steakhouse,16 Town Square London DA8 1SE,01322 336460,Fish & Chips Steakhouses Burgers,no_pricerate,no_website,1 review,"A hidden treasure, friendly service and good food!"
Chilli Chill Indian,1 Riverdale Road Erith DA8 1PU,01322 446620,Indian,£,no_website,1 review,"One of the best curry houses I've been to! A delicious range of curry, nanns and rice. You can see the chefs cooking in the kitchen to see how they make the fantastic curries."
Spice Master,45-47 Nuxley Road Belvedere DA17 5JN,01322 445765,Indian Pakistani,££,no_website,3 reviews,"Went on a Saturday for a friends birthday.  This is the best Indian Resturant I have been to in a while.  The resturant is nicely decorated and the staff are friendly and very attentive.  ||| All in all a great night out! ||| Spice Master in Belvedere is a top notch Indian restaurant and a perfect place for a large gathering or party. This place has the lot, great food, an electric atmosphere, good drinks, live entertainment and brilliant service.  ||| The meals are of a very good quality, great tasting with healthy portions too. It is served up in ample time by staff who are very friendly and work hard to ensure that everyone is satisfied. Once you have finished your meal you are more than welcome to stay and enjoy drinks at the table into the late night. There is nobody hassling you to leave as soon as you have finished eating which adds to the comfort factor of Spice Master.  ||| Frequently there is evening entertainment in the form of tribute acts to stars past and present such as ABBA and Elvis although this is mainly towards the back of the restaurant so if you don't fancy listening you can ask to be seated towards the front and the entertainment will provide nothing more than background noise.  ||| I would highly recommend Spice Master for celebratory parties or work functions as a good time is guaranteed to be had by all. Parking is available in street parking spaces outside the restaurant. At weekends or towards busy times of the year it is advisable to book in advance. ||| I don't even want to rate this, it's so poor! The service was terrible. We were in there for over 3 hours. Waited an hour for starters which we're sharing, but. Had to ask numerous times for plates to eat on! Ordered drinks and they took half hour to arrive. The mains took. 2hours and nanas came after we had our curries. We had to keep asking for things cos they didn't come. We took our parents for their first meal out in years and it was very disappointing. We had 5 kids who were really well behaved despite the wait. Pls don't go here, they should not be in business. I will never recommend this for anyone and I have been to many Indian restaurants all over."
