Name,Address,Phone,Speciality,Price_rate,Website,Total_Reviews,Reviews
Indian Ocean Ni,350 Antrim Road Newtownabbey BT36 5EQ,028 9083 9888,Indian,££,indianoceangroup.co.uk,3 reviews,"Indian food is generally top of the pops for me, so when I review an Indian restaurant, I would like you to believe that I know what I'm on about. I've tried them all!  ||| The Indian Ocean near me is part of a chain of three restaurants - Glengormley, Carrickfergus, the Odyssey. I love them. Did you ever order a garlic naan and not be able to taste the wondrous bulb? Not here, you can see the chopped cloves in the stuffing. What do their chefs marinade their lamb in?  I wouldn't know how to get such a simple ingredient tasting so awesome.  Big, generous handfuls of fresh coriander on the tomato dishes. Flavour you would't believe. Options beyond the usual curryhouse staples... Stuff I'd never heard of, the welcome choice of monkfish etc.  ||| The Glengormley restaurant is especially atmospheric inside... Lovely decor, smooth service. it's pretty damned relaxing even if you're only waiting for a takeaway. If curry is your thing, if you are also addicted to the joys of spice, then give this place a bash. I can't recommend it highly enough. ||| I'd be delighted to give this place five stars, but for the fact that they don't do deliveries.  Maybe in my case this is a good thing - I'd probably not bother cooking ever again, but still.  It'd be nice to have their madras and naan at my beck and call. ||| Popped in for a bite of lunch. First time since it's been done up. Although I was early the bald gent at reception didn't seem friendly- he ushered me to take a seat. I was eventually seated and given my menu by my waitress who again didn't smile and was quite regimented. I ordered a set lunch of mixed starter and chicken tikka chilli masala with nan. The food was exceptional-the ch tikka in the starter was fried which it shouldn't have been. The thing that let it down was the service. The food server again served the food and did not smile and appeared robotic. I have eaten in all the Indian Oceans and this has been less than great service I have become used to. On leaving I thanked the waitress and the bald chap-who was on his phone and he didn't even look at me when he replied-not professional!! ||| I have frequented both branches of this well-known Indian Restaurant on many occasions, and have never really been disappointed. Their branch in Newtownabbey was the most recent port of call for my Dad's brithday, as we decided to treat him to an Indian feast, which we ordered in and went to collect. I had the Chicken Rogan Josh with Mushroom Pilau Rice and Peshwari Naan Bread. Absolutely delicious. Lovely thick tomato based sauce with a great spicy kick at the end. The chicken was tender and there was plenty of it, although my Mum, who ordered the Chicken Bhuna was disappointed to find quite a measley portion of chicken in hers. ||| Despite this one complaint, the food was piping hot and ready when we went to collect it, which is the one down-side of thier take-away service, they don't deliver! It is a bit of a pain having to drive up and collect it, but the food really is great and it was worth it to celebrate my Dad's birthday. The restaurant itself is clean, spacious, nicely decorated and the tables aren't too close together ( a real bug bear for me, usually) and the waiters are attentive and helpful. A definite yes for eating in or taking away."
Pizzarella,Unit 5 Ferbro Buildings 335 Antrim Road Glengormley BT36 5DZ,028 9034 2420,Pizza Takeaway & Fast Food,££,pizzarella.just-eat.co.uk,6 reviews,"There's a lot of mention of Domino's here, and it's actually thanks to Domino's that I came to this place. ||| I had tried a number of times to get through to Domino's. Friday was upon us once again, and it was time to have a traditional Domino's meal deal, but unfortunately I just could not get through. ||| They aren't always the best at answering the phone in that branch, so I thought nothing of it and jumped into the car and drove there (I'd have had to have collected it anyway, since I live outside of their delviery area) But when I got there, the queue was ridiculous, and I was very hungry. ||| I had my heart set on pizza by this stage, so looked up Vicinity on my phone, to see if there was anywhere else nearby, and it threw up this wee place (I'd never heard of it before) ||| I got there in a couple of minutes, and was pleased to see there was not much of a queue, so wasted no time in ordering my pizza with the usual toppings, cheese, tomato, peppers and onions. ||| All in all, it came to just over a tenner, which is less than I would have paid, and it tasted great..Not quite a patch on Domino's, I must admit, but I would certainly go back! ||| The service was fast delivery. Maybe this is a skewed opinion from a non-local but we were very confused about this pizza. We ordered pepperoni and sausage- neither topping appeared to be what we typically associate with those toppings- oh well. It wasn't terrible but the meats were just strange. Also ordered cheese garlic bread- that was delicious!! ||| I ordered a large vegetarian, large ham and mushroom and small pepperoni pizza with two portions of chips last night and went down to collect. It was ready within 15 minutes and when I brought it home it was delicious. The kids loved the pepperoni pizza and we loved ours. The bases were nice and firm and crispy,toppings excellent and chips not oily. All in all great locally owned and run store. ||| I've only recently discovered this place, I'm pretty sure most people will head to the larger fast food chains that surround this area (Dominoes / Papas Kitchen) but it's well worth a look in (or a bite in as the case may be!) In my opinion this smaller, local business is so much better. You always get a bit of craic from the staff which I think is important, not a depressed spotty teen or automaton serving you!  ||| I didn't even used to be a huge pizza fan, but after trying the 'Pizzarella Special' ... drool... I don't think I could go back (Cheese, tomato, onions, peppers, mushrooms, salami, and ham & olives or corn & pineapple ...I go for the latter) it's like one big giant feast of a pizza, great for when you're near starving! They usually put on week day specials where you can grab a bargain for a family deal. Their sundry items are spot on too (think perfectly cooked garlic bread, hard on outside, soft on inside, with melted 'supreme cheese' running off it ... mmm) *Goes to dial number* Too much temptation! ||| I usually get shouted down in my house when it comes to pizza. Inevitably, we end up ordering from Dominos, but given the choice, it would be Pizzarella everytime for me! ||| The pizzas are really fresh, they'll put basically whatever you want on them, and they're pretty cheap (they do charge for delivery, but last time I ordered it was a whole 50p, so nothing too scandalous!). About the only negative I can come up with is that sometimes, the dough can be a little overdone and once, we were sent a totally burnt garlic baguette, properly char grilled and inedible, actually. ||| Other than that though, Pizzarealla is definitely worth trying, even just for a change from Dominos or Pizza Hut. ||| We head to this place every few months, when we take a notion for it. The food is always good, kind of satisfying 'normal' food that really comforts you when you're in the mood for it. Thier sweet chilli potatoes are really nice, I can never have enough of them actually - mind you - what's new? The pizza's are great, although I never can finish one because we always order the one that is too big and I always regret it. Thier pepperoni is gorgeous and they aren't stingy on the cheese like some places can be, in my opinion. The food arrives quickly and they don't keep you waiting - and they have a good selection of cold drinks available too."
Lin's Garden,4 Longlands Road Newtownabbey BT36 7LZ,028 9086 6636,Chinese Takeaway & Fast Food,no_pricerate,no_website,1 review,Excellent food and service would highly recommend open 6days a week and fast delivery
Harmony,1 Ballyclare Rd Newtownabbey BT36 5EU,028 9084 9800,Chinese,£££,no_website,3 reviews,"Harmony is a Chinese & Japanese. |||  I went to Harmony with my friends for the Sunday 3 course meal deal which is £6.95 each, the choices was great. |||  The restaurant is clean and relaxing and the staff are attentive and pleasant. Thouroughly loved the food, the honey chilli chicken was fantastic. A great way to spend your Sunday afternoon. |||  I would definately recomment this restaurant to everyone. ||| Harmony Chinese (funny, this place is beside Harmin Park so is this on purpose? Harmin - Harmony Chinese? Or it that just me?)  ||| Anyway, the restaurant is in competition with the many fast food take aways on offer around this area, I'm glad this place has survived, it is a great Chinese. I used to get noodles from here all the time, and I'm fussy about my noodles, I love them, I can't help it and in Harmony they are really tasty. Plus, they do a great vegetarian range which always impresses me.  ||| The restaurant isn't the fanciest of surroundings, it's certainly in an strange location and the staff can be a little on the odd side sometimes but hey, it's good food so you can't complain that much. Personally  I'd go for the take away option then you don't have as much hassle or oddness to deal with. Sorry, but it's what I've experienced. Maybe that's just me though. Try the black bean sauce here too, it's another particular favourite of mine. ||| We called in here for the first time a couple of weeks ago to actually sit in, rather than just order the usual takeaway to the house - and were pleasantly surprised. The food is a Chinese and Thai option, and the menu is extensive with lots of choice depending on what you fancy - although I really do like thier chicken satay or the honey chilli chicken (although that's what I always get!) The staff are really nice (as I find most staff in Chinese restaurants, actually Asian restaurants are) and the food arrived in a timely manner and was really very good and enjoyable. I would recommend this Chinese to anyone in the area, either for takeaway or for dining in."
Cafe Cuisine,21 Carnmoney Road Newtownabbey BT36 6HL,028 9083 9173,Delis Cafes,£,no_website,2 reviews,"So, after having reviewed and waxed lyrical about La Cuisine on the Antrim Road, I discovered it had closed down without my knowledge. Panic ensued as I worried if my local branch of this deli had met the same fate, but I'm pleased to report that it hasn't as yet - phew! ||| La Cuisine have been in Glengormley since I was really young, and I always loved their food. It used to be a real treat to go there for lunch, and in truth, it still is! ||| The food is all cooked on-site that day, so it's beautifully fresh and properly tasty. Highlights are definitely the pies and the vol-au-vents (very 80s, but who cares when they're so yummy??) ||| The cafe is really tiny, so there are only a few tables. This can cause a bit of traffic at lunchtime as people wait for tables, but don't think this means you'll be rushed through your meal. The staff are always patient (I know this because I've gone on several occasions with my 18 month old nephew - patience is definitely required!) and willing to accommodate whatever request you may make of them. ||| La Cuisine is a lovely place to go for lunch.. and I would visit quite often - although word of warning - it may be easier to carry out than to sit in, as the cafe itself is very small.  ||| I'll start with the bad points, to get them out of the way.  Firstly, the cafe is a little hidden and may be hard to find for someone who is not used to the area. The car parking around it isn't adequate and you can never get a parking space. The cafe itself is also very small.. you may be waiting for a table for a very long time, so it is better to take away. Even if you do sit in, you will notice you are sitting very close to people who are taking away, so it doesn't feel very private.  ||| Anyway, good points. Food is absolutely fantastic. I'm a huge fan of the large hot cajun baguettes.. they are like heaven in your mouth. Their food always looks nice and fresh in the counter and they offer a wide range of lunch time dishes that caters for everybody. It's always very good value for money compared to some cafes and sandwich bars that will charge a fortune for a baguette - especially for how much you get. They are very generous with their portions, which is a factor that I love to see in a food place. Also, staff are very friendly, always smiling no matter how busy the cafe is.  ||| Overall, with the number of bad points you'd expect a 3 star rating, but this climbs up to a 4 star, simply because their food is amazing and you can't get much better."
Sleepy Hollow Restaurant,15 Kiln Road Newtownabbey BT36 4SU,028 9083 8672,British,£££,sleepyhollowrestaurant.com/#_=…,8 reviews,"Nipped in here for lunch on the recommendation of a friend and it didn't disappoint!  ||| I admit staring at the menu with a bit of immediate terror at all the fancy schmancy things staring back at me, but - I had the fish and Parmesan fries, hubby had the steak sandwich and chunky chips.  For dessert we had the pear crumble, burnt cream of the day (coffee) and the sticky toffee pudding mini desserts.  ||| Great place to have lunch, it was quiet, service was friendly - though there was a looooong wait between courses and we ended up in a bit of a time crunch to get the child from school - but it was absolutely delicious, a great wee find tucked away.  I imagine Christmas time here would be lovely ||| Absolutely delicious! Went for lunch and was very pleasantly surprised! The food was amazing and cozy atmosphere! Service was also good! The lamb was lovely ||| I treated myself to a spot of lunch at The Sleepy Hollow. Chef and proprietor Paul took over in early 2013 and has taken this place to great heights.  ||| On arrival I was seated and presented with a bottle of ice cold water before choosing cod and chips for my main course. The lunch menu is on a single sheet and has a very varied choice from all local producers. Great value of two courses for £14.50 or three for £16.50-I only managed a main for less than a tenner!! ||| The restaurant itself is a 55 seater, split into three rooms on two levels, with an ample car park. The bare stone walls and exposed wooden beams give it great character. There is also a lovely farm shop (which I believe is to close,such a pity). ||| When my food arrived it came on a rectangular wooden board (not a fan of wooden boards). There was a Wee shot of beer, a mini bucket of fresh tartare sauce (could really taste the capers!!) a deliciously fried piece of cod resting on mushy peas and wedge of lemon resting on the peas also, lastly a mini pan of four crispy,very fat, thrice fried organic Marris Piper chips!!! The portion size was amazing and I didn't need starters or dessert or tea/coffee. There is an extensive wine list and the Christmas Menu is ready. This is definitely a restaurant to find and visit as you will really enjoy!!!! ||| Been here a few times and never dissapoints! Had food from their Sunday lunch menu today, everything was delicious.  ||| For starter I had the scampi with salt & pepper tiger prawns, light but full of flavour. For main, I had the roast turkey & ham, served with crackling, cranberry and chestnut crumble, smoked bacon stuffing with cranberry & orange - AMAZING!  ||| The portions are presented very skillfully, like something you'd often see on Masterchef, but yet are fully satisfying. We were full after the mains, but still managed a cheeky dessert.. ||| Instead of 1 dessert, you get to choose a couple of mini desserts which is a great idea. I opted for the white chocolate and lemon meringue and the mini sticky toffee pudding, both great and just perfect size to finish off a great meal.  ||| The only thing I could fault is the service as it tends to be quite slow anytime I've visited, but I would still say the food is well worth the wait!! ||| Absolute disgrace. I contacted the restaurant on 16th February to arrange a booking for 4 adults and a child on Mother's day. I got a response back asking to confirm time, which I did. ||| Now, on the 4th of March (2 days before Mother's day) I called to ask for something additional and they had no record of the booking! It was lucky I called or it would have been a massive disappointment on Mother's day! ||| Their excuse was that the online contact form was for 'inquiries only' - if this is the case why did 'Lyndsay' who I dealt with not come back and say so instead of leading me to believe a booking had been made? Absolute joke! ||| Safe to say I'll not bother with this place again in future! ||| It's not very often I would give a 5 star review, but this place deserves it! ||| A quaint country cottage set on the outskirts of newtownabbey, this place oozes charm and sophistication. I have been here a few times for both lunch and dinner and have never been disappointed.   ||| The interior is very charming and the dim lighting makes it very cosy and intimate. The staff are very pleasant, well mannered and extremely helpful.   ||| There are not many dishes to choose from but each dish will have  either chicken, pork, beef, vegetarian etc, so something will satisfy. I always think a shorter menu means that more effort can be put into each dish! The menu is exquisite and full of good,local  and fresh produce.  ||| A carafe of water was placed on our table, so we didnt feel the need to order any drinks.   |||  The main courses are quite substantial and we could not finish it all, but we did leave room for dessert. You can  have a choice of two or three mini deserts. We opted for two each which was plenty. I would have struggled to eat three. ||| For the quality of service and food this place is not expensive. They have a lunchtime offer of 2 courses for £14.95 or 3 courses for £16.95.  ||| A selection of alcoholic drinks is also availible and the drinks menu is written on a wine bottle. It's these little touches that make all the difference. ||| If you have not tried here I urge you to do so! This is a very special little place and I guarantee you  will return. ||| Food, decor and surroundings all 5star!!  ||| It is a converted farm house with a vintage yet modern decor inside!  ||| It's quite intimate in regards to table settings but with the service a food provided I wouldn't care if I was sat at the same table as strangers!  ||| My all time fav thing about sleepy hollow is their deserts! Mini and multiple!!  ||| The apple and blackberry crumble with homemade vanilla ice cream is to die for! ||| You will need to book a table in advanced for here which makes me sad as I am always a last min sort of person! ||| At first when my sister invited me to a restaurant up a country lane and in the middle of fields I thought she might be crazy, however this cozy hideaway is the perfect way to dine with friends or family.  The cozy barn setting had a homely feel and the food was far from an average.  ||| The setting are plush, comfortable and relaxing, the staff are friendly (however could have been a bit more attentive - it was busy so I'll let that one go).  ||| When the starters and mains came we were so impressed, the portions are very generous and the total came to £16 each - we had lunch but needed no dinner later as all the plates were cleared.  See the pictures for the type of food, it is a bistro style cuisine and high quality cuts of meat. ||| There is a farm shop, however it is closed until Easter (2015) as they are switching suppliers; previously they made their own produce but high demand has meant they have to source externally for the shop.  ||| I would recommend this place for a special occasion, catch up with the girls or even just for a weekend place that is unique and homely.  ||| A definite must visit, just call ahead to book the table to avoid disappointment!"
The Loft,36A Mallusk Road Newtownabbey BT36 4PP,028 9084 0008,British Pubs,££,gototheloft.com,3 reviews,"My two daughters, wife and I had the pleasure of dining in the biggest restaurant in Glengormley, that is The Loft.  ||| Perched above a row of shops in the busy Industrial area of Mallusk is this fully equipped 120 seater restaurant. When we ascended the stairway and entered the reception area we were amazed at the size!! The kitchen hatch was immediately to our left and at the helm was local chef John Hadden (who has worked in Ballyclare Golf Club, Knags, Sugar Rays and Blue Chicago). John has just introduced a new and very appetising menu......more on that later!! ||| Further along was the fully stocked bar, with a myriad of wines, beers, spirits and soft drinks and I hear they do cocktails!! ||| To the right as we entered was the seated reception area (above), where live bands and entertainers will play on busy weekend nights. ||| We were taken through the dining area and seated in our well accommodating booth, overlooking the car park. The booth was set for four and would have fitted six!! ||| Chef John's passion for good quality wholesome fresh food showed through in the menu. ||| John was saying that there will be an express corporate lunch starting soon at £5.95 to cater for the many corporate clients and office workers in the area, who want good quality food, quickly and at a reasonable price. ||| There were so many dishes that screamed out, ""Eat me!!!""  ||| So we decided to take the plunge and order. My two girls had the pork sausages (2 pcs) with skinny fries and freshly breaded chicken strips (3).  ||| My wife opted for the salmon sizzler and chunky chips,whilst I had the chicken stack. ||| We all loved the presentation of the food John served up. The baskets for the kids meals went down a treat with them, the sizzler really sizzled and my stack was well stacked!! The breaded mushrooms were really crispy and served on a simple dressed salad with garlic mayo. The chicken strips and sausages were piping hot, the salmon and prawns were delicious and not over cooked and the chunky chips worked well with the fish. My stack was the best!!! The champ was perfectly cooked with tasty crunchy scallions, chicken was butterflied and succulent, the pepper sauce was reduced well and spot on and the tobacco onions were juicy and moist and not oily!! The portion sizes were big and we all polished the food off, leaving just enough room for dessert. ||| Kids having mint chocolate ice cream and strawberry ice cream respectively whilst my wife and I shared the banoffee. We were well and truly filled after all this and all for less than £40......because kids eat free on a Monday and Tuesday night!!! ||| There is BYO on Monday, Tuesday and Wednesday (can only avail of one offer per order) and Steak Night on a Thursday. ||| This restaurant is a truly fantastic family friendly place which offers great quality food at very competitive prices. There is also scope for corporate/business lunches with the advantage of having a section able area to the rear which can be used for presentations, product launches, training, conferences, private parties, communions/christening and the whole venue can be used for large parties and even weddings. As can be seen this is a truly remarkable restaurant and we are so lucky to have it on our doorstep. Do call in and try for yourself......watch out for promotions and the new flyer, it will have a discount on it!!!! ||| I used to work in one of the industrial areas in Mallusk, and on the odd Friday, our boss would take us all out and get us our lunch. Due to being in Mallusk, there isn't a great variety of places to go, so the Loft (or the Jolly Beggar, as it was called) was the place we always went. ||| Additonally, if you actually live in Mallusk, this is pretty much the only place to go in the immediate vicinity. ||| It's in a rather large building, so there is plenty of room and you are pretty much always guaranteed to get a table. ||| The service was always good, and the menu had something for everyone, burgers, chips, sandwiches, wraps, paninis etc - in my time I've probably tried them all, although the chicken wraps were a particular favourite. ||| The pricing is reasonable too, not that we paid as we were always treated to it! ||| Although I often travel through Mallusk nowadays, I never stop off, and the Loft isn't great enough to warrant a special trip just for that, but if you are in the area, give it a try. ||| I agreed to meet an old friend for a spot of lunch outside town one rainy afternoon, so off I trek to what is now known as 'The Loft' (It was previously The jolly Beggar - a much better name in my opinion!) Anyhow, we met up and ascended the bright purple carpeted stairs to the, very unoriginally named, Loft) It wasn't the busiest of places to say the least, though it was 2pm on a rainy Wednesday so I guess it can be forgiven, there were six diners including us, two old men, a couple and us girlies. The menu had a selection of the usual pub grub; burger, lasagne, Panini, wraps, soup etc. which were all priced at a very reasonable £5 each. We were served by an ordinary waitress in an ordinary bar and had ordinary meals. Nothing to write home about. The portions were a little on the measly side, our chicken wrap had about three pieces of chicken in it! The garlic chips weren't even garlicy and the salad was a rather uninspiring undressed straight out of the bag type job. Saying that, as fart as meals go, I've had worst. I'd always been intrigued by this bar, so in that aspect at least my curiosity is satisfied, even if my appetite wasn't. It's not somewhere I would come rushing back to but I'm sure it does its job for the local workmen about the place. I saw adverts for the DJ at the weekends, now I don't know about Mallusk's thriving night scene, Id be pretty sure its non existent. I wouldn't imagine it's a local hot spot, must not miss, but if it keeps the locals happy then who am I to complain?"
Whitehouse Working Mens Club,213-217 Shore Road Newtownabbey BT37 9SS,028 9085 1748,Social Clubs Pubs British,no_pricerate,no_website,1 review,"The Whitehouse Working Mens Club (a.k.a. The Workies) is, as far as I've seen, a bar which is predominantly reserved for locals (if you're not a member you have to sign in upon arrival ) but the wee old man who sits at the front desk is the best of banter (He used to be my milk man!) he's still very pleasant and accommodating.  ||| The bar certainly can get busy over the weekends but I'd say it's pretty quiet for the rest of the time. It's a good bar for an older crowd to enjoy a quiet drink at the weekend. The bar itself is split in to various floors and sections so you can experience different surroundings. It's nothing fancy but no over the top airs or graces. It does what it says on the tin, a club for working (wo)men to come relax, have a drink or a meal.  ||| The restaurant has only opened a short while ago (then closed, apparently over row with chef, now reopened under new management) and although it is now a little more pricey it still does the same job. You can come and enjoy your Friday lunch here and won't have to worry about breaking the bank. You won't come any where near.  ||| Bonus, did I mention how cheap the pints are? Your round! Cheers!"
Thyme Cafe,319 Antrim Road Newtownabbey BT36 5,no_phone,Sandwiches,no_pricerate,no_website,3 reviews,"Thyme is a wee cafe situated smack bang in the middle of Glengormley.   I feel awkward reviewing it... you know when you find somewhere that you want to keep all to yourself?  If I chuff on about how charming this place is, maybe it'll end up being inundated and I won't get my usual table... ||| Anyway.  I challenge any of you to find me a better coffee anywhere. That's a bold statement, isn't it? Forget about Starbucks and all that nonsense... When it comes to a good coffee, love in preparation is what matters. Love. Not firing out 3000 lattes per hour. ||| You'll normally find me here, just either side of the lunchtime rush (there seem to be a load of solicitors nearby) enjoying a sandwich or salad (and a latté, of course) in nice, genuinely lovely surroundings. Highly, highly recommended. ||| Thyme is a tiny little café that does an amazing chocolate milkshake. I go here sometimes whenever I am in the centre of the village and have about 30 minutes or so to spare. It does a lovely lunch menu. It is strange that there are not more little places like this around Belfast, little locally owned cafes and it is unfortunate that this is not so.  ||| The best meal I have ever had here has to be their B.L.T sandwich. It is one of the best sandwiches I have ever. Made on brown rye bread and made with freshly made bacon it was spectacular. There soups are often pretty good as well. A worthwhile little place to stop in if you are ever hungry! ||| One of the few little eateries in Glengormley - and although I live in this area, I don't usually socialise in it, or partake of the local restaurants or cafes, I'm usually heading into Belfast city centre or somewhere in North Belfast proper. But recently I met up with some friends who live locally and we ended up here having some lunch and a chat - it was a bit of a meeting too, regarding a project we are working on, and Thyme was definitely a nice place to do this. The food was really nice, and the staff weren't funny about us sitting for a while after we had long finished our food - and got chatting and lost track of time. It's a small cafe, but well run, and has a pleasant atmosphere. I'm glad I have found somewhere as nice as this so near where I live. I will definitely be going back for another bite to eat soon."
Cod House,337 Antrim Rd Newtownabbey BT36 5DZ,028 9083 3555,Fish & Chips,£,no_website,3 reviews,"Not the most amazing fish and chips I've ever had. The premises are bright and inviting, so it tends to promise great things, and I'm not usually of high expectations for a fast food place - all I really want are crispy chips and batter that has a good consistency and flavour - and good quality fish that melts in your mouth. It didn't really deliver on that to be honest, the batter was a bit bland, it lacked that sweetness that you can get in a good batter - and there wasn't a lot of 'fish' to the erm, well, fish. But the staff were really nice and the food was ready fairly promptly - so I'm not going to berate them for it - it wasn't awful, I've just had better experiences having fish and chips. ||| We eat in this place regularly as the food is good quality, unfortunately when it comes to the staff and the taking of orders the quality ends. It got to the stage we're stopped using them (which for us and them is unfortunate), 80% of our orders either have missing items of parts of it are wrong. This evening I collected an order and came home, guess what! part of the order was missing, so I called them and explained the situation, I was told I would have to come round and collect as they are busy, my reply was, ""so am I!"" An hour and a half late my order arrived, guess what? It was wrong, so I called again, what is the problem now? I started the tell the old woman with the attitude whom I would assume is one of the owners because I'm not entirely sure how anyone with an attitude like hers towards customers would ever get a job! It stinks!!! She hung up the phone on me, the younger girl, fair play to her tried to resolve the issue by explaining they were busy etc, NO EXCUSS!!! Get more staff or close. I was made to feel like the whole episode was my fault and I should just except what I was given, ""Amazing customer service!"" Needless to say what they sent to me was put in the bin. NEVER AGAIN! Their driver needs to be nominated for an award he's a gentleman, obviously has the patience of a saint. ||| My son and his wife visited me last night and called into The Cod House on thier way. They bought 3 fish suppers and when they arrived at my house a few minutes later we transferred them to plates. The batter on the fish was hard on one side and the chips were hard and dried out, as if they'd been reheated a number of times. Very little was eaten and approx 90% went in the bin. That's my first and last meal from THE COD HOUSE."
